arabic_name,english_name
الغيل,Al-Ghayl
المجارب,Al-Majarib
الصنمه,Al-Sunmah
الرقعه,Al-Ruq'ah
الزهيرة, Al-Zuhaira
وادي المعقم,Wadi Al-Mu'aqam
جديمه,Jadima
الضيجه,Ad-Dhayjah
الدردعى,Ad-Darda'i
البقرين,Al-Baqrayn
الحرف,Al-Harf
الحصب,Al-Hasab
الماقبه,Al-Maqbah
القحفة,Al-Qahfah
القبه,Al-Qubbah
عراكبه,Arakbah
الشقتين,Ash-Shuqatayn
الصريح,As-Sarih
التعبره,At-Ta'barah
ضاربة الحصب,Daribah Al-Hasab
حصب حميدالمجزع,Hasab Hamid Al-Majza'
احوال كريف,Ahwal Krif
القحفــه,Al-Qahfa
السويهره,Al Suwayhira
جويب,Juwayb
الروينه,Al Ruwayna
العوينه,Al-Awaina
البارز,Al-barez
الذنبه,Al-Dhanba
المعاين,Al-muaeen
الراكبه,Al-rakbah
الرمادي,Al-ramady
دارالقعموس,Dar al-Qa'mus
كبة القوبز,Kubbat al-Qubz
قطيع الحمره,Qateea Alhamrah
الطور,the Tur
السويهره - الجوبر,Al Suwayhira -Al-Jawbar
الادروس,Al-Adrous
الهنقوب,Al-Hanqoub
المعابده,Al-Ma'abdah
المداور,Al-Madawer
المودقه,Al-Mawdaqah
بيت القضيب,Bayt Al-Qadib
شعب الزريعي,Sha'ab Al-Zari'i
شعب حمر,Sha'ab Hamr
شعب سويد,Sha'ab Suwaid
الادروس,Al-Adrus
خباثه,Khabathah
العفيرة,Al-Afira
الدحاح,Ad-Dahah
الابرحه,Al-Abraha
الاكمة,Al-Akma
العارضة,Al-Aridah
الحرضة,Al-Harada
الجويح,Al-Juwayh
المدافن,Al-Madafin
المذاليع,Al-Madhali'
المحطه,Al-Mahatta
المجزع,Al-Majza'
المناقد,Al-Manaqid
المرازم,Al-Marazim
النجارة,An-Najara
الرجاح,Ar-Rajah
الركيب,Ar-Rakib
الروضة,Ar-Rawda
خرشبة,Kharshaba
العفيرة,Al-Afirah
الغبيل,Al-Ghabil
النزيهه,Al-Nazihah
القريعاء,Al-Qari'ah
رحنق,Rahnaq
العقمه,Al-Aqmah
العشه,Al-'Ash'ah
الدرابي,Al-Darabi
الضاحيه,Al-dhahyah
الغله,Al-Ghalah
الحنه,Al-Hanna
الجروبه,Al-Jarubah
الجوني,Al-Jawni
الجريبه,Al-Juraybah
المضبايه,Al-Madhbayah
المغلاء,Al-Maghla
الملحه,Al-Malhah
المقصاب,Al-Maqsab
المزحاجه,Al-Mazhajah
المضيلع,Al-Mudayli'
