arabic_name,english_name
الاسبال,Al-Asbal
الهطيط,Al-Hutayt
داجنه,Dajna
النشه,Al-Nashah
الجراده,Al-Jaradah
الرجيم,Al-Rajim
النحر,Al-Nahr
المعسار,Al-Ma'sar
الشبيقات,Al-Shabiqat
النخيله,Al-Nakhilah
البليلي,Al-Balili
الكعوب الاعلى,Al-Ka'ub Al-A'la
المردع,Al-Marda'
الصفا,Al-Safa
العارضة,Al-Aridah
المعيطه,Al-Mu'ayta
المصلاب,Al-Musallab
الحياطة,Al-Hayata
الرمادة,Al-Ramada
الذاري,Al-Dhari
مشعار نمره,Mish'ar Nimrah
المعينه,Al-Mainah
نجد الميدان,Najd Al-Midan
بيت رشاح,Bayt Rashah
الحالي,Al-Hali
التماره,Al-Tamarah
الابرحه,Al-Abraha
الصرواح,Al-Sarwah
الرحيبه,Al-Rahibah
البيحانى,al-Bayhani
المقاصع,Al-Maqasa'
رجحة المسجد,Rajhat Al-Masjid
الصنمه,Al-Sanamah
المقيبره,Al-Maqibra
خرانه,Kharanah
الميناء,Al-Mina'
الشطين,al-Shattin
المغر بة,Al-Maghriba
الذنبه,Al-Dhanba
العرمه,Al-Armah
طره الجويعي,Tarah Al-Juway'i
الزويم,Al-Zuwaim
بيت الشميري,Bayt al-Shamiri
الرباعنه,Al-Raba'nah
الرحية,Al-Rahiyah
الرقاع,Al-Ruqaa
الصدة,Al-Sadda
وادي البير,Wadi Al-Bir
مكان الحمير,Makan Al-Hamir
حصب الدور,Hasab Al-Dur
القرن,Al-Qarn
الحجج,Al-Hujaj
اكمة مهاق,Akmat Mahaq
هيجه حصب زراع,Hejah Hasab Zira'a
الصـويره - قحفه العيدروس,Al-Sawerah-Qahfat Al-Aidaroos
جزيرة ميون,Jazirat Mayyun
الحدبه العليا,Al-Hadbah Al-'Ulya
الوحيز,Al-Wahiz
المحور,Al-Mahwar
الداخله,Al-Dakhla
الدرج الاعلى,Al-Daraj Al-A'la
الدبيله,Al-Dabilah
صوارحين,Sawarihin
البيضاء,al-Bayda'
عبيله,Abilah
الجبات,al-Jubbat
كمب ان سالدو,Camp An Saldo
الكدام,Al-Kadam
العبدلي,Al-Abdali
المعطاب الاعلى,Al-Ma'tab Al-A'la
مهلومين,Mahlumin
الاطوار,Al-Atwar
بيت الحرف,Bayt al-Harf
الرقيصه,Al-Raqisa
العفيرة,Al-Afirah
الشطين,Al-Shattin
المعمل,Al-Ma'mal
السفالية,Al-Sufaliyah
الرقاعية,Al-Ruqa'iya
العواس,Al-Awas
دار الراعي,Dar Al-Ra'i
المعابده,Al-Ma'abdah
السويداء,Al-Suwaydah
شبيه,Shabih
الغاوى,Al-Ghawy
النقيرة,Al-Nuqayra
العروش,Al-'Urush
الحافه,Al-Hafa
بني دريغم,Bani Drigham
الصناعه,Al-Sina'ah
المقصاب,Al-Maqsab
شعب الظافر,Sha'b Al-Dhafir
الشعوب,Al-Shu'ub
الدخيل,Al-Dakhil
المدقوع,Al-Madqu'
الحرزه,Al-Harzah
المعصرة,Al-Ma'sara
المشقبه,Al-Mashqaba
الزريبه,Al-Zaribah
عهوقه,Ahuqa
الرون,Al-Rawan
الذريع,Al-Dhari'
الجوارف,Al-Jawarif
حصب العزيبه,Hasab Al-Aziba
النجيبة,Al-Najibah
الهنقوب,Al-Hanqoub
الرواع,Ar-Rawa'
الشعوب,Al-Shueub
الحرز,Al-Harz
وادي جدار,Wadi Jidar
الطريبة,Al-Tariba
كبة القوبز,Kubbat al-Qubz
المنجاره,Al-Manjarah
القطيعه,Al-Qati'ah
البزيه,Al-Baziyah
الصـويره - النوبة,Al-Sawerah-Al-Nwbah
جوفين,Jawfin
حصب المقطار,Hasab Al-Muqtar
الحرثه,Al-Harthah
الحجاج,Al-Hajjaj
العداين,Al-Adain
جنس,Jins
المقلد,Al-Muqallad
جديمه,Jadima
المرتفعات,Al-Murtafa'at
المداره,Al-Madarah
الحمراء,Al-Hamra
المحالص,Al-Mahalis
الشقتين,Ash-Shuqatayn
الصويلح,Al-Suwailih
المعامرة,Al-Ma'amara
الضباية,Al-Dhabaya
المطارشة,Al-Matarsha
الجمينه,al-Jaminah
المضـبه,Al-Madhbah
الساحرة,Al-Sahira
الشفرين,Al-Shafrayn
المضاحي,Al-Madhahi
الطريره,Al-Tarirah
المدرج,Al-Madraj
عزان,Azzan
الخبيه,Al-Khabiyah
الجزله,Al-Jazla
طوره,Turah
الرويس,Al-Ruways
الرشيح الاعلى,Al-Rashih Al-A'la
الضيجه,Ad-Dhayjah
المعيعه,Al-Mu'ayyah
الاشعاب,al-Ash'ab
الطفيلي,Altufayli
الكبيسة,Al-Kabisah
الحنايه,al-Hanaya
الحبوه,Al-Habwa
الرهيطه العليا,Al-Rahitah Al-'Ulya
حصيب الحائط,Hasib Al-Ha'it
البهيشة,Al-Bahisha
الخنيق,Al-Khaniq
شعب الجبلي,Sha'b Al-Jabali
المبياضه,Al-Mubayadah
البطنة,Al-Batnah
الصيره,Al-Sirah
الجديدة,Al-Jadidah
الفاحم,Al-Fahim
البانة,al-Bana
رزيقه,Raziqah
الجوم,Al-Jawm
شرج الذئب,Sharj Al-Dhib
العقبه,Al-Aqaba
قروش,Qurosh
القبعه,al-Qubba'a
شعب العديني,Sha'b Al-'Adini
الاقشاب,Al-Aqshab
برح السيد,Barh Al-Sayyid
المراون,Al-Marawin
المزاحر,al-Mazahir
الضفيريه,Al-Dhafiriya
حريزه,Harizah
الموبره,Al-Mawbarah
الملحه,Al-Malhah
الصابريه,Al-Sabriya
وادي بني ابراهيم,Wadi Bani Ibrahim
دارالكدف,Dar Al-Kadif
الصـويره - الهوب,Al-Sawerah-Al-Hwb
الطفيلي,al-Tufaili
الغابره,Al-Ghabirah
الشجنه,Al-Shajna
السخينه,Al-Sakhina
المطرح,Al-Matrah
العقه,Al-Aqqa
الصرادح,Al-Saradih
المعطاب,Al-Ma'tab
القحيزه,Al-Qahizah
الهيجه,Al-Hayjah
رصافة,Rasafah
الرهيطه السفلى,Al-Rahitah Al-Sufla
الجنه,Al-Janna
الهداشيه,Al-Hadashiyah
الدرج الاسفل,Al-Daraj Al-Asfal
دار صالح,Dar Saleh
حصب المحرق,Hasb almahriq
الشرج,Al-Sharj
القطنى,al-Qatni
المنتصر,Al-Muntasir
المبايض,Al-Mubayidh
خذفان,Khadhfan
الشقيره,Al-Shuqayrah
شعبه هاربه,Sha'bat Harbah
الزنح,Al-Zanh
الصباريه,Al-Sabariyyah
الشجيبة,Al-Shujayba
المسيحه,Al-Masihah
قبه الفقيه,Qubbat Al-Faqih
الحليصة,Al-Halisa
السويدا,Al-Suwaida
الشويكة,Al-Shuwayka
مصران,Misran
الهبيله,Al-Habilah
الشعبين,Al-Sha'been
رداع - المداتن,Rada Al-Madaten
الهليبي,Al-Hulaibi
الرجحه,Al-Rajha
الملك,Al-Malik
الشبارة,Al-Shabara
السقيع,Al-Saqee'
المجوير,Al-Majawir
الحجاجيه,Al-Hajjajiyah
الكاحب,al-Kahib
شراط,Sharat
الودن,Al-Wadan
حصيب ياسين,Hasib Yasin
الغيبر,Al-Ghaybar
دعلج,Da'laj
النبيع,Al-Nabi'
اكمة عثيمان,Akmat Uthayman
القاعده,Al-Qa'ida
هيجة الحجر,Heijah Al-Hajar
المحكمة,Al-Mahkama
حبوة الموينس,Habwah Al-Muwaynis
هيجة العكش,Hayjah Al-'Akash
قواح,Qawah
الحجاجيه,Al-Hajjajiya
الروينه,Al Ruwayna
المطايا,Al-Mataya
الحريشة,Al-Harisha
القحيفـه,Al-Qahifa
السليع,Al-Sali'
حاضيه,Hadhiyah
المناخ,al-Manakh
الكيمه,Al-Kima
الكبب,Al-Kabab
المنزله,Al-Manzilah
العرينه,Al-Arina
الرقه,Al-Raqqa
الهيوج,Al-Hayyuj
تتر اسفل,Tatar Asfal
وادي الرويعي,Wadi Al-Ruwa'i
الزعاترالسفلى,Al-Za'atir Al-Sufla
الجوف,Al-Jawf
المجارب,Al-Majarib
السويهره - الجوبر,Al Suwayhira -Al-Jawbar
الشقيراء,Al-Shuqayra
المغدر,Al-Maghdar
شنـص,Shans
الحجيفه,Al-Hujayfah
الغرسه,Al-Gharasah
البيرك,al-Birk
الثوباني,Al-Thawbani
الحفيره,Al-Hafira
المليطات,Al-Malitat
شعب الرصد,Sha'b Al-Rasd
الحمرور,Al-Hamrur
العريديد,Al-'Aridid
الركب,al-Rakb
ثواب,Thawab
المنيدمه,Al-Munaydimah
الدويده,Al-Duwaida
الرويه السفلى,Al-Ruwayya Al-Sufla
حديجه,Hadijah
واحجه,Wahjah
ذي النيت,Dhi al-Nit
النشيفه,An-Nashifa
القشايب,Al-Qashayib
ذي البرع - الكـدف,Thee Al-Bara-Al-Kadf
القشعه,al-Qash'ah
النوبه,Al-Nawbah
المحطه البخارية,Steam Station
البقين,Al-Baqin
الضــدح,al-Dhadhah
الشجين,Al-Shajin
الاطراف,Al-Atraf
القطنة,Al-Qatna
الحروره,Al-Harura
المهدار,Al-Mahdar
الغول,Al-Ghul
الجرن,Al-Jurn
القرية,Al-qariah
الحفيظة,Al-Hafiza
ال حميدان,Al-Humaidan
البراح,Al-Barah
القلعه,Al-Qal'a
بوميه,Bumiya
الحريقيه,Al-Hariqiya
رداع - محروضه,Rada-Mahroudah
السقايه,Al-Saqaya
بيت القضيب,Bayt Al-Qadib
العدينه,Al-Adina
الشطيط,Al-Shatit
الرجاح,Ar-Rajah
نوبة القصيصى,Nawbat Al-Qasisi
المره العليا,Al-Murra Al-'Ulya
المغيني,Al-Mughini
الاعطف,Al-Ataf
القرف,Al-Qarf
البوالع,Al-Bawali
ذي البرع - السنـح,Thee Al-Bara-Al-Sanah
ذي عيان,Dhi Ayan
الحضين,Al-Hadhin
هيجة حقر,Hayjah Haqr
الزجا جية,al-Zajajiyah
البحيح,Al-Bahih
البراده,Al-Baradah
الجبيه,al-Jubayyah
عوده,Awda
يفرس,Yafrus
ريمه,Rima
الادروس,Al-Adrus
المدينة,Al-Madinah
العصفوريه,Al-Asfuriya
الدائري الشمالي,Al-Da'iri Al-Shamali
دومة الصبيحي,Dumat Al-Subaihi
ام نزيله,Umm Nazilah
رهاده العليا,Rahadah Al-'Ulya
شعب عواض,Sha'b 'Awadh
دار الشجاع,Dar Al-Shuja'
دار العنبى,Dar Al-'Anabi
الهندى,Al-Hindi
هوب مجلي,Hub Majli
البطحه,Al-Bat'hah
وادي الشط,Wadi Al-Shatt
الكعوب الاسفل,Lower Ka'ub
المخاء,Al-Mukha
السحنه,Al-sihnah
خباثه,Khabathah
الشعب,Al-Sha'ab
جبل النار,Jabal Al-Nar
بئر عقيل,Bir Aqeel
المزبر,al-Mazbar
الحديده,Al-Hadida
المنحــه,Al-Minha
الخيفه,Al-Khaifah
الحجرة,Al-Hajrah
المحالب,Al-Mahalib
المحرقه,Al-Muharraqah
المهجم الاعلى,Al-Mahjam Al-A'la
المقيبرة,Al-Muqaybira
العضيلة,Al-Adhila
العتاة,Al-'Ata
بعيلل,Ba'ilal
ابو أسماعيل,Abu Isma'il
الشرخ,Al-Sharikh
كفائه,Kafa'a
حجفار,Hajfar
المزجاجه,Al-Muzajajah
العماصي,Al-Amasi
الكبه,al-Kabbah
بني مليك,Bani Malik
الدهبليه,Al-Dahbaliya
الحقيبه,Al-Haqibah
الصرم,Al-Sarim
الصـويره - الهجمة,Al-Sawerah-Al-Hajmah
الجواح,Al-Jawah
العارضه,Al-'Arida
الهجره,Al-Hijrah
مدحي عبدالله,Madhi Abdullah
الحثن,Al-Hathn
شعبو,Sha'bu
الصفريه,Al-Safriya
المحداده,al-Mahdadah
المسلوم,Al-Masloum
القشوبع,Al-Qashub'
سميقنه,Samiqna
الصـويره - العارضة,Al-Sawera- Al-Ardah
غبيراء,Ghubayra
المزرعة,Al-Mazra'a
الصنمه,Al-Sunmah
حصب حميدالمجزع,Hasab Hamid Al-Majza'
الروضة,Ar-Rawda
جويب,Juwayb
المطهف,Al-Mutahhaf
الصوفه,Al-Sufah
الحبوه السوداء,Al-Habwah Al-Sawda'
قحفة الحراز,Qahfat Al-Haraz
الطيشه,al-Tayshah
