arabic_name,english_name
الغيل - المجارب, Al-Ghayl - Al-Majarib
الصنمه - الرقعه, Al-Sunmah - Al-Ruq'ah
الزهيرة, Al-Zuhaira
وادي المعقم - جديمه, Wadi Al-Mu'aqam - Jadima
الضيجه - الدردعى,Ad-Dhayjah - Ad-Darda'i
الضيجه - البقرين,Ad-Dhayjah - Al-Baqrayn
الضيجه - الحرف,Ad-Dhayjah - Al-Harf
الضيجه - الحصب,Ad-Dhayjah - Al-Hasab
الضيجه - الماقبه,Ad-Dhayjah - Al-Maqbah
الضيجه - القحفة,Ad-Dhayjah - Al-Qahfah
الضيجه - القبه,Ad-Dhayjah - Al-Qubbah
الضيجه - عراكبه,Ad-Dhayjah - 'Arakbah
الضيجه - الشقتين,Ad-Dhayjah - Ash-Shuqatayn
الضيجه - الصريح,Ad-Dhayjah - As-Sarih
الضيجه - التعبره,Ad-Dhayjah - At-Ta'barah
الضيجه - ضاربة الحصب,Ad-Dhayjah - Daribah Al-Hasab
الضيجه - حصب حميدالمجزع,Ad-Dhayjah - Hasab Hamid Al-Majza'
احوال كريف,Ahwal Krif
احوال كريف - القحفــه,Ahwal Krif - Al-Qahfa
السويهره,Al Suwayhira
السويهره - جويب,Al Suwayhira -  Juwayb
السويهره - الروينه,Al Suwayhira - Al Ruwayna
السويهره - السويهره,Al Suwayhira - Al Suwayhira
السويهره - العوينه,Al Suwayhira - Al-Awaina
السويهره - البارز,Al Suwayhira - Al-barez
السويهره - الذنبه,Al Suwayhira - Al-Dhanba
السويهره - المعاين,Al Suwayhira - Al-muaeen
السويهره - الراكبه,Al Suwayhira - Al-rakbah
السويهره - الرمادي,Al Suwayhira - Al-ramady
السويهره - دارالقعموس,Al Suwayhira - Dar al-Qa'mus
السويهره - كبة القوبز,Al Suwayhira - Kubbat al-Qubz
السويهره - قطيع الحمره,Al Suwayhira - Qateea Alhamrah
السويهره - الطور,Al Suwayhira - the Tur
السويهره - الجوبر,Al Suwayhira -Al-Jawbar
الادروس - الهنقوب,Al-Adrous - Al-Hanqoub
الادروس - المعابده,Al-Adrous - Al-Ma'abdah
الادروس - المداور,Al-Adrous - Al-Madawer
الادروس - المودقه,Al-Adrous - Al-Mawdaqah
الادروس - بيت القضيب,Al-Adrous - Bayt Al-Qadib
الادروس - شعب الزريعي,Al-Adrous - Sha'ab Al-Zari'i
الادروس - شعب حمر,Al-Adrous - Sha'ab Hamr
الادروس - شعب سويد,Al-Adrous - Sha'ab Suwaid
الادروس,Al-Adrus
الادروس - خباثه,Al-Adrus - Khabathah
العفيرة - الدحاح,Al-Afira - Ad-Dahah
العفيرة - الابرحه,Al-Afira - Al-Abraha
العفيرة - الاكمة,Al-Afira - Al-Akma
العفيرة - العارضة,Al-Afira - Al-Aridah
العفيرة - الحرضة,Al-Afira - Al-Harada
العفيرة - الجويح,Al-Afira - Al-Juwayh
العفيرة - المدافن,Al-Afira - Al-Madafin
العفيرة - المذاليع,Al-Afira - Al-Madhali'
العفيرة - المحطه,Al-Afira - Al-Mahatta
العفيرة - المجزع,Al-Afira - Al-Majza'
العفيرة - المناقد,Al-Afira - Al-Manaqid
العفيرة - المرازم,Al-Afira - Al-Marazim
العفيرة - النجارة,Al-Afira - An-Najara
العفيرة - الرجاح,Al-Afira - Ar-Rajah
العفيرة - الركيب,Al-Afira - Ar-Rakib
العفيرة - الروضة,Al-Afira - Ar-Rawda
العفيرة - خرشبة,Al-Afira - Kharshaba
العفيرة - الغبيل,Al-Afirah - Al-Ghabil
العفيرة - النزيهه,Al-Afirah - Al-Nazihah
العفيرة - القريعاء,Al-Afirah - Al-Qari'ah
العفيرة - رحنق,Al-Afirah - Rahnaq
العقمه - العشه,Al-Aqmah - Al-'Ash'ah
العقمه - الدرابي,Al-Aqmah - Al-Darabi
العقمه - الضاحيه,Al-Aqmah - Al-dhahyah
العقمه - الغله,Al-Aqmah - Al-Ghalah
العقمه - الحنه,Al-Aqmah - Al-Hanna
العقمه - الجروبه,Al-Aqmah - Al-Jarubah
العقمه - الجوني,Al-Aqmah - Al-Jawni
العقمه - الجريبه,Al-Aqmah - Al-Juraybah
العقمه - المضبايه,Al-Aqmah - Al-Madhbayah
العقمه - المغلاء,Al-Aqmah - Al-Maghla
